,Unnamed: 0,time,x,y,handlabeller_final,source,velocity,unique_saccade_number,norm_time,event_number,start_time,end_time
0,116388,17324,23.5578149771,21.3384067557,2,./gazecom_small/all_features\beach\JSH_beach.arff,20.0774314477,69,0,6,4302,4307
1,116389,17328,23.882513253899997,21.3269468165,2,./gazecom_small/all_features\beach\JSH_beach.arff,81.22499293359999,69,4,6,4302,4307
2,116390,17332,24.5777495642,21.3269468165,2,./gazecom_small/all_features\beach\JSH_beach.arff,173.80907758360001,69,8,6,4302,4307
3,116391,17336,25.3684853678,21.304026938099998,2,./gazecom_small/all_features\beach\JSH_beach.arff,197.7668444382,69,12,6,4302,4307
4,116392,17340,25.441064982600004,21.5981653771,2,./gazecom_small/all_features\beach\JSH_beach.arff,75.7402660414,69,16,6,4302,4307
5,116393,17344,25.463984860900002,21.5981653771,2,./gazecom_small/all_features\beach\JSH_beach.arff,5.729969590700001,69,20,6,4302,4307
6,123106,4128,17.3809077584,13.774846896,2,./gazecom_small/all_features\beach\KKB_beach.arff,192.33597926009998,73,0,0,1002,1007
7,123107,4132,18.7904802777,14.0804452741,2,./gazecom_small/all_features\beach\KKB_beach.arff,360.5797283794,73,4,0,1002,1007
8,123108,4136,20.3834118239,14.256164341600002,2,./gazecom_small/all_features\beach\KKB_beach.arff,400.64711373910006,73,8,0,1002,1007
9,123109,4140,20.5820507697,14.290544159100001,2,./gazecom_small/all_features\beach\KKB_beach.arff,50.3981385337,73,12,0,1002,1007
10,123110,4144,20.666090323699997,14.2943641389,2,./gazecom_small/all_features\beach\KKB_beach.arff,21.0316623836,73,16,0,1002,1007
11,123111,4148,20.662270344,14.2943641389,2,./gazecom_small/all_features\beach\KKB_beach.arff,0.9549949318,73,20,0,1002,1007
12,124759,10740,18.3053428523,21.556145600100002,2,./gazecom_small/all_features\beach\KKB_beach.arff,36.3024133407,74,0,1,2655,2660
13,124760,10744,18.9050796695,21.6516450933,2,./gazecom_small/all_features\beach\KKB_beach.arff,151.8231842642,74,4,1,2655,2660
14,124761,10748,19.7836750067,21.877023897199997,2,./gazecom_small/all_features\beach\KKB_beach.arff,226.760490567,74,8,1,2655,2660
15,124762,10752,20.345212026600002,21.9534234917,2,./gazecom_small/all_features\beach\KKB_beach.arff,141.67770010700002,74,12,1,2655,2660
16,124763,10756,20.4559914387,21.9419635525,2,./gazecom_small/all_features\beach\KKB_beach.arff,27.842686237,74,16,1,2655,2660
17,124764,10760,20.452171459000002,21.9343235931,2,./gazecom_small/all_features\beach\KKB_beach.arff,2.1353686675,74,20,1,2655,2660
18,137637,795,26.919397136999997,19.2679777436,2,./gazecom_small/all_features\beach\KKW_beach.arff,19.1950161308,80,0,0,170,175
19,137638,799,26.6328986574,19.260337784100003,2,./gazecom_small/all_features\beach\KKW_beach.arff,71.6502137475,80,4,0,170,175
20,137639,803,25.968222184899997,19.3138175003,2,./gazecom_small/all_features\beach\KKW_beach.arff,166.7062072791,80,8,0,170,175
21,137640,807,25.154566503,19.3825771354,2,./gazecom_small/all_features\beach\KKW_beach.arff,204.138952621,80,12,0,170,175
22,137641,811,24.902447841100003,19.4245969124,2,./gazecom_small/all_features\beach\KKW_beach.arff,63.8990928833,80,16,0,170,175
23,137642,815,24.9215477397,19.4093169935,2,./gazecom_small/all_features\beach\KKW_beach.arff,6.1150235472,80,20,0,170,175
